Date,Open,High,Low,Close,Volume,FGI,RSI_14,ATR_14,MA_14,cluster_0,cluster_1,cluster_2,cluster_3
2024-05-10,63055.19140625,63446.7421875,60208.78125,60792.77734375,27804954694,66.0,43.217186153536055,2773.9143415178573,62123.40569196428,False,0,False,True
2024-05-11,60793.35546875,61451.15234375,60492.625,60793.7109375,13842272968,53.0,43.21992418856179,2737.1202566964284,61935.875,True,0,False,False
2024-05-12,60793.50390625,61818.15625,60632.6015625,61448.39453125,13800459405,56.0,45.776700356772395,2712.66796875,61816.95814732143,True,0,False,False
2024-05-13,61451.21875,63422.66015625,60769.83984375,62901.44921875,27889181179,57.0,47.70086071969532,2732.1964285714284,61749.83872767857,True,0,False,False
2024-05-14,62900.7734375,63092.125,61123.765625,61552.7890625,28186271527,66.0,52.464878381784885,2473.988839285714,61815.26255580357,False,0,False,True
2024-05-15,61553.98828125,66454.453125,61330.41015625,66267.4921875,39815167074,64.0,69.16041653863174,2538.19140625,62387.654017857145,False,0,False,True
2024-05-16,66256.109375,66712.4296875,64613.0546875,65231.58203125,31573077994,70.0,64.4893659685047,2497.7829241071427,62823.95033482143,False,0,False,True
2024-05-17,65231.296875,67459.4609375,65119.31640625,67051.875,28031279310,74.0,60.87720666572202,2345.4938616071427,63121.23883928572,False,0,False,True
2024-05-18,67066.2109375,67387.328125,66663.5,66940.8046875,16712277406,73.0,58.35828984992684,2261.795479910714,63339.04827008928,False,0,False,True
2024-05-19,66937.9296875,67694.296875,65937.1796875,66278.3671875,19249094538,72.0,55.988108967820104,2269.0477120535716,63499.56501116072,False,0,False,True
2024-05-20,66278.7421875,71483.5625,66086.171875,71448.1953125,43850655717,70.0,67.96298131028684,2458.2424665178573,64091.439732142855,False,0,False,True
2024-05-21,71443.0625,71946.4609375,69191.125,70136.53125,46932005990,76.0,66.56463123846649,2504.732421875,64648.705078125,False,0,False,True
2024-05-22,70135.3203125,70623.6953125,68977.6953125,69122.3359375,32802561717,76.0,66.94178934948593,2471.6640625,65215.447544642855,False,0,False,True
2024-05-23,69121.3046875,70041.2734375,66356.953125,67929.5625,41895680979,76.0,60.72562924456308,2537.912667410714,65563.99051339286,False,0,False,True
2024-05-24,67928.1328125,69220.296875,66622.671875,68526.1015625,29197308153,74.0,68.33693113287431,2492.174386160714,66116.37081473214,False,0,False,True
2024-05-25,68526.921875,69579.3203125,68515.8203125,69265.9453125,15473071741,76.0,69.40888804889887,2499.672433035714,66721.53041294643,False,0,False,True
2024-05-26,69264.2890625,69506.2265625,68183.890625,68518.09375,15628433737,75.0,66.12700377582838,2509.4425223214284,67226.50892857143,False,0,False,True
2024-05-27,68512.1796875,70597.8828125,68232.5,69394.5546875,25870990717,74.0,65.2118717822334,2488.9112723214284,67690.30217633929,False,0,False,True
2024-05-28,69392.1953125,69514.640625,67227.15625,68296.21875,32722265965,72.0,65.98582320528757,2511.7059151785716,68171.97572544643,False,0,False,True
2024-05-29,68296.3515625,68852.4609375,67101.4921875,67578.09375,26707072906,72.0,53.83321558064566,2270.772042410714,68265.59012276786,False,0,False,True
2024-05-30,67576.0859375,69500.5390625,67118.078125,68364.9921875,29509712534,73.0,59.29998606427546,2290.9924665178573,68489.40513392857,False,0,False,True
2024-05-31,68362.515625,68999.5625,66633.421875,67491.4140625,27387283769,73.0,51.382232947071685,2292.8493303571427,68520.80078125,False,0,False,True
2024-06-01,67489.609375,67839.765625,67386.1953125,67706.9375,11641495604,72.0,52.39355846833737,2273.5452008928573,68575.52455357143,False,0,False,True
